PassName,Partnered,SkiResortName,SkiRegion,Address,Latitude,Longitude,WebsiteUrl,TrailMapUrl
Indy,FALSE,Glencoe Mountain Resort,,,56.6324409,-4.8278692,https://www.indyskipass.com/our-resorts/glencoe-mountain-resort,
Indy,FALSE,Granby Ranch,,,40.0446489,-105.9089128,https://www.indyskipass.com/our-resorts/granby-ranch,
Indy,FALSE,Granite Peak,,,44.9253444,-89.6958047,https://www.indyskipass.com/our-resorts/granite-peak,
Indy,FALSE,Great Bear Ski Valley,,,43.57814995,-96.66392463,https://www.indyskipass.com/our-resorts/great-bear-ski-valley,
Indy,FALSE,Greek Peak Mountain Resort,,,42.5085935,-76.1474284,https://www.indyskipass.com/our-resorts/greek-peak-mountain-resort,
Indy,FALSE,Hardwood Ski and Bike,,,44.5176652,-79.594334,https://www.indyskipass.com/our-resorts/hardwood-ski-and-bike,
Indy,FALSE,Hatley Pointe,,,35.95429562,-82.50886775,https://www.indyskipass.com/our-resorts/hatley-pointe,
Indy,FALSE,Hickory Ski Center,,,43.47620872,-73.81688182,https://www.indyskipass.com/our-resorts/hickory-ski-center,
Indy,FALSE,High Point XC Ski Center,,,41.30625,-74.6733403,https://www.indyskipass.com/our-resorts/high-point-xc-ski-center,
Indy,FALSE,Hirugano Kogen Ski Resort,,,36.0055471,136.9036975,https://www.indyskipass.com/our-resorts/hirugano-kogen-ski-resort,
Indy,FALSE,Hoedown Hill,,,40.4520656,-104.9338958,https://www.indyskipass.com/our-resorts/hoedown-hill,
Indy,FALSE,Homestake Lodge,,,45.9052331,-112.3834782,https://www.indyskipass.com/our-resorts/homestake-lodge,
Indy,FALSE,Hoodoo,,,44.4086439,-121.8739961,https://www.indyskipass.com/our-resorts/hoodoo,
Indy,FALSE,Howelsen Hill,,,40.4833683,-106.8405524,https://www.indyskipass.com/our-resorts/howelsen-hill,
Indy,FALSE,Hudson Bay Mountain,,,54.76580661,-127.2689951,https://www.indyskipass.com/our-resorts/hudson-bay-mountain,
Indy,FALSE,Huff Hills Ski Area,,,46.627425,-100.7257943,https://www.indyskipass.com/our-resorts/huff-hills-ski-area,
Indy,FALSE,Hunt Hollow Ski Club,,,42.645996,-77.4806785,https://www.indyskipass.com/our-resorts/hunt-hollow-ski-club,
Indy,FALSE,Hurricane Ridge,,,47.9699846,-123.4977155,https://www.indyskipass.com/our-resorts/hurricane-ridge,
Indy,FALSE,Innsbruck Ski & City Network,,,47.1953877,11.1618082,https://www.indyskipass.com/our-resorts/innsbruck-ski-city-network,
Indy,FALSE,Jackson XC,,,44.1455635,-71.1875049,https://www.indyskipass.com/our-resorts/jackson-xc,
Indy,FALSE,Jay Peak Resort,,,44.9379013,-72.5073526,https://www.indyskipass.com/our-resorts/jay-peak-resort,
Indy,FALSE,Kamui Ski Links,,,43.704967,142.1845217,https://www.indyskipass.com/our-resorts/kamui-ski-links,
Indy,FALSE,Kelly Canyon,,,43.6460169,-111.6324654,https://www.indyskipass.com/our-resorts/kelly-canyon,
Indy,FALSE,Kimberley Nordic Club,,,49.6822765,-116.0095172,https://www.indyskipass.com/our-resorts/kimberley-nordic-club,
Indy,TRUE,King Pine,,,43.86828018,-71.08894472,https://www.indyskipass.com/our-resorts/king-pine,
Indy,FALSE,Kiroro Snow World,,,43.0663934,140.9833059,https://www.indyskipass.com/our-resorts/kiroro-snow-world,
Indy,FALSE,Leavenworth Winter Sports Club,,,47.6141122,-120.6712683,https://www.indyskipass.com/our-resorts/leavenworth-winter-sports-club,
Indy,FALSE,Little Switzerland,,,43.3379806,-88.2815214,https://www.indyskipass.com/our-resorts/little-switzerland,
Indy,FALSE,Loch Lomond,,,48.2939871,-89.3508156,https://www.indyskipass.com/our-resorts/loch-lomond,
Indy,FALSE,Lost Trail Powder Mountain,,,45.6922649,-113.9546482,https://www.indyskipass.com/our-resorts/lost-trail-powder-mountain,
Indy,FALSE,Lost Valley ,,,44.1360699,-70.2855319,https://www.indyskipass.com/our-resorts/lost-valley,
Indy,FALSE,Loup Loup Ski Bowl,,,48.3943616,-119.9135503,https://www.indyskipass.com/our-resorts/loup-loup-ski-bowl,
Indy,FALSE,Loveland Ski Area,,,39.6800625,-105.9005334,https://www.indyskipass.com/our-resorts/loveland-ski-area,
Indy,FALSE,Lutsen Mountains,,,47.663713,-90.716136,https://www.indyskipass.com/our-resorts/lutsen-mountains,
Indy,FALSE,Madarao Ski Resort,,,36.8524572,138.2880255,https://www.indyskipass.com/our-resorts/madarao-ski-resort,
Indy,FALSE,Magic Mountain,,,43.20191601,-72.77132459,https://www.indyskipass.com/our-resorts/magic-mountain,
Indy,FALSE,Maiko Resort,,,36.98226596,138.8244564,https://www.indyskipass.com/our-resorts/maiko-resort,
Indy,FALSE,MalÃ¡ Ãšpa ,,,50.7201426,15.5505559,https://www.indyskipass.com/our-resorts/mala-upa,
Indy,FALSE,Manning Park,,,49.0701941,-120.9521503,https://www.indyskipass.com/our-resorts/manning-park,
Indy,FALSE,Manning Park XC,,,49.063089,-120.7897713,https://www.indyskipass.com/our-resorts/manning-park-xc,
Indy,FALSE,Maple Ski Ridge,,,42.8170709,-74.0371723,https://www.indyskipass.com/our-resorts/maple-ski-ridge,
Indy,FALSE,Maplelag Resort,,,47.009156,-95.7793197,https://www.indyskipass.com/our-resorts/maplelag-resort,
Indy,FALSE,Marquette Mountain,,,46.5082074,-87.42339,https://www.indyskipass.com/our-resorts/marquette-mountain,
Indy,FALSE,Massanutten Resort,,,38.4035359,-78.7572956,https://www.indyskipass.com/our-resorts/massanutten-resort,
Indy,FALSE,Massif du Sud ,,,46.621511,-70.5247494,https://www.indyskipass.com/our-resorts/massif-du-sud,
Indy,TRUE,McIntyre Ski Area,,,43.00755388,-71.44381919,https://www.indyskipass.com/our-resorts/mcintyre-ski-area,
Indy,FALSE,Meadowlark Ski Resort,,,44.1636263,-107.2238357,https://www.indyskipass.com/our-resorts/meadowlark-ski-resort,
Indy,FALSE,Methow Trails XC,,,48.4681634,-120.1825961,https://www.indyskipass.com/our-resorts/methow-trails-xc,
Indy,FALSE,Middlebury Snowbowl,,,43.93902993,-72.95772668,https://www.indyskipass.com/our-resorts/middlebury-snowbowl,
Indy,FALSE,Minocqua Winter Park,,,45.830018,-89.8977884,https://www.indyskipass.com/our-resorts/minocqua-winter-park,
Indy,FALSE,Mission Ridge,,,47.2924657,-120.4024513,https://www.indyskipass.com/our-resorts/mission-ridge,
Indy,FALSE,Mohawk Mountain,,,41.838231,-73.3176389,https://www.indyskipass.com/our-resorts/mohawk-mountain,
Indy,FALSE,Mont Rigaud,,,45.4680559,-74.4091987,https://www.indyskipass.com/our-resorts/mont-rigaud,
Indy,TRUE,Mont Ripley Ski Area,,,47.12809236,-88.56009945,https://www.indyskipass.com/our-resorts/mont-ripley-ski-area,
Indy,FALSE,Montage Mountain,,,41.3512429,-75.6654972,https://www.indyskipass.com/our-resorts/montage-mountain,
Indy,FALSE,Montana Snowbowl,,,47.014436,-114.0021483,https://www.indyskipass.com/our-resorts/montana-snowbowl,
Indy,FALSE,Moose Mountain,,,64.94122683,-147.990682,https://www.indyskipass.com/our-resorts/moose-mountain,
Indy,FALSE,Mount Baldy Ski Area,,,48.5258002,-89.1308235,https://www.indyskipass.com/our-resorts/mount-baldy-ski-area,
Indy,FALSE,Mount Kato,,,44.1331301,-94.0359465,https://www.indyskipass.com/our-resorts/mount-kato,
Indy,FALSE,Mountain High,,,34.3769418,-117.6941045,https://www.indyskipass.com/our-resorts/mountain-high,
Indy,FALSE,Mt. Abram,,,44.37973496,-70.70681126,https://www.indyskipass.com/our-resorts/mt-abram,
Indy,FALSE,Mt. Holiday,,,44.7423148,-85.5135188,https://www.indyskipass.com/our-resorts/mt-holiday,
Indy,FALSE,Mt. Hood Meadows,,,45.3317552,-121.6677651,https://www.indyskipass.com/our-resorts/mt-hood-meadows,
Indy,FALSE,Mt. Racey Ski Resort,,,43.0503785,141.9688449,https://www.indyskipass.com/our-resorts/mt-racey-ski-resort,
